job_id,posting_date,title,position_type,position_level,yoe,location,number_of_applicants,company_name,company_industry,company_size
1,2017-01-01,Data Engineer,Full-time,Mid-Senior level,2,United States,1.0,Brinks Home,Consumer Electronics,"1,001-5,000"
5,2017-01-01,Data Engineer,Full-time,Mid-Senior level,6,"Los Angeles, CA",,ClearScale,Information Technology & Services,51-200
7,2017-01-01,Data Analyst,Full-time,Associate,5,"Charleston, SC",25.0,Perficient,Information Technology & Services,"1,001-5,000"
8,2017-01-01,Data Engineer,Full-time,Mid-Senior level,9,"Baltimore, MD",5.0,Medix Technology,Information Technology & Services,201-500
13,2017-01-02,Data Scientist,Full-time,Entry level,2,United States,6.0,Nutrien Ag Solutions,Farming,"10,001+"
17,2017-01-03,Data Analyst,Full-time,Associate,3,United States,11.0,Tactivos Inc.,,
19,2017-01-03,Data Scientist,Contract,Mid-Senior level,4,"Hillsboro, OR",,Toptal,Internet,"1,001-5,000"
29,2017-01-04,Data Engineer,Contract,Mid-Senior level,0,"Athens, GA",,Toptal,Internet,"1,001-5,000"
30,2017-01-04,Data Scientist,Full-time,Associate,1,United States,16.0,Varo Bank,Banking,"501-1,000"
31,2017-01-04,Data Analyst,Full-time,Associate,4,United States,159.0,Hyland,Computer Software,"1,001-5,000"
33,2017-01-05,Data Scientist,Full-time,Mid-Senior level,4,"Portland, OR",5.0,Jobot,Staffing & Recruiting,201-500
40,2017-01-05,Data Engineer,Contract,Mid-Senior level,6,United States,6.0,"TalentBurst, an Inc 5000 company",Staffing & Recruiting,"1,001-5,000"
44,2017-01-06,Data Engineer,Full-time,Mid-Senior level,6,"Chicago, IL",,84.51˚,Management Consulting,"1,001-5,000"
49,2017-01-06,Data Engineer,Contract,Mid-Senior level,6,"Lanham, MD",1.0,Toptal,Internet,"1,001-5,000"
50,2017-01-06,Data Scientist,Contract,Mid-Senior level,6,"Indianapolis, IN",,Toptal,Internet,"1,001-5,000"
58,2017-01-07,Data Analyst,Full-time,Mid-Senior level,6,United States,33.0,Insight Global,Staffing & Recruiting,"1,001-5,000"
62,2017-01-08,Data Engineer,Full-time,Mid-Senior level,6,"Irvine, CA",14.0,KORE1,Staffing & Recruiting,51-200
63,2017-01-08,Data Scientist,Contract,Mid-Senior level,4,"Gresham, OR",,Toptal,Internet,"1,001-5,000"
66,2017-01-08,Data Scientist,Contract,Mid-Senior level,6,"Mountain View, CA",2.0,Toptal,Internet,"1,001-5,000"
68,2017-01-08,Data Analyst,Full-time,Mid-Senior level,7,United States,58.0,Sud Recruiting,Staffing & Recruiting,1-10
79,2017-01-10,Data Engineer,Contract,Mid-Senior level,4,"Allen, TX",,Toptal,Internet,"1,001-5,000"
82,2017-01-10,Data Engineer,Contract,Mid-Senior level,5,"St Louis, MO",,Toptal,Internet,"1,001-5,000"
84,2017-01-10,Data Analyst,Full-time,Associate,5,United States,,,Information Technology & Services,51-200
89,2017-01-11,Data Engineer,Full-time,Entry level,2,United States,1.0,Dice,Internet,"1,001-5,000"
100,2017-01-12,Data Analyst,Full-time,Associate,6,"Woburn, MA",16.0,Optum,Hospital & Health Care,"10,001+"
102,2017-01-12,Data Scientist,Contract,Mid-Senior level,7,"Everett, WA",,Toptal,Internet,"1,001-5,000"
104,2017-01-12,Data Engineer,Contract,Mid-Senior level,5,"Columbia, SC",1.0,Upwork,Internet,"501-1,000"
105,2017-01-13,Data Engineer,Full-time,Entry level,3,United States,,Dice,Internet,"1,001-5,000"
107,2017-01-13,Data Analyst,Full-time,Mid-Senior level,7,United States,35.0,Businessolver,Information Technology & Services,"1,001-5,000"
