job_id,skills
1.0,data_lake
1.0,cloud
1.0,python
1.0,spark
1.0,github
1.0,warehousing
1.0,mssql
1.0,ci/cd
1.0,sql
1.0,apache
1.0,azure
1.0,scala
5.0,data_lake
5.0,cloud
5.0,python
5.0,hadoop
5.0,devops
5.0,spark
5.0,iot
5.0,aws
5.0,pyspark
5.0,redshift
5.0,etl
5.0,sql
5.0,nosql
5.0,machine_learning
7.0,data_lake
7.0,database
7.0,python
7.0,hadoop
7.0,ibm
7.0,oracle
7.0,microsoft
7.0,sql
8.0,python
8.0,etl
8.0,postgres
8.0,linux
8.0,sql
8.0,nosql
8.0,golang
13.0,cloud
13.0,powerbi
13.0,python
13.0,gcp
13.0,aws
13.0,sql
13.0,azure
17.0,sap
17.0,bi
17.0,ibm
17.0,saas
17.0,github
17.0,redshift
17.0,tableau
17.0,sql
17.0,atlassian
17.0,powerbi
19.0,
29.0,cloud
29.0,aws
29.0,azure
30.0,cloud
30.0,python
30.0,hadoop
30.0,gcp
30.0,spark
30.0,aws
30.0,machine_learning
31.0,microsoft
31.0,excel
33.0,r
33.0,python
33.0,sql
33.0,ai
33.0,machine_learning
40.0,backend
40.0,oracle
40.0,saas
40.0,java
40.0,javascript
40.0,mysql
40.0,python
40.0,linux
40.0,sql
44.0,git
44.0,scrum
44.0,airflow
44.0,cloud
44.0,java
44.0,pyspark
44.0,agile
44.0,python
44.0,tableau
44.0,etl
44.0,mongodb
44.0,cognos
44.0,hadoop
44.0,nosql
44.0,bi
44.0,powerbi
49.0,cloud
49.0,aws
49.0,azure
50.0,
58.0,sql
62.0,r
62.0,data_lake
62.0,github
62.0,microsoft
62.0,dax
62.0,sas
62.0,python
62.0,tableau
62.0,jira
62.0,hadoop
62.0,machine_learning
62.0,powerbi
62.0,azure
63.0,
66.0,
68.0,cloud
68.0,powerbi
68.0,tableau
68.0,sql
68.0,bi
68.0,machine_learning
79.0,cloud
79.0,aws
79.0,azure
82.0,cloud
82.0,aws
82.0,azure
84.0,r
84.0,excel
84.0,microsoft
84.0,tableau
84.0,etl
89.0,warehousing
89.0,cloud
89.0,aws
89.0,python
89.0,snowflake
100.0,database
100.0,sql
100.0,golang
100.0,excel
102.0,
104.0,saas
104.0,agile/scrum
104.0,aws
104.0,agile
104.0,python
104.0,postgres
104.0,sql
105.0,github
105.0,backend
105.0,scrum
105.0,agile
105.0,etl
